"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
oid_1_1_2_6_0_1;childhood_trauma_questionnaire_ctq;;text;"Record ID";;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_0]) @HIDDEN"
oid_1_1_2_6_0_2;childhood_trauma_questionnaire_ctq;;text;"Fall ID";;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_1]) @HIDDEN"
oid_1_1_2_6_0_3;childhood_trauma_questionnaire_ctq;;text;Geburtsdatum;;;date_dmy;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_2]) @HIDDEN"
oid_1_1_2_6_0_4;childhood_trauma_questionnaire_ctq;;text;Alter;;;integer;0;110;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_3]) @HIDDEN"
oid_1_1_2_6_0_5;childhood_trauma_questionnaire_ctq;;text;Geschlecht;;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_4]) @HIDDEN"
oid_1_1_2_6_0_6;childhood_trauma_questionnaire_ctq;;text;Erhebungszeitpunkt;;;;;;;;;;;;;" @NOW-UTC @HIDDEN"
oid_1_1_2_6_0_7;childhood_trauma_questionnaire_ctq;;text;Abschlusszeitpunkt;;;;;;;;;;;;;" @CALCTEXT([survey-time-completed:Childhood Trauma Questionnaire (CTQ)]) @HIDDEN"
oid_1_1_2_6_1_1;childhood_trauma_questionnaire_ctq;"Als ich aufwuchs...";dropdown;"1. ...hatte ich nicht genug zu essen.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_2;childhood_trauma_questionnaire_ctq;;dropdown;"2. ...wußte ich, daß sich jemand um mich sorgte und mich beschützte.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_3;childhood_trauma_questionnaire_ctq;;dropdown;"3. ..bezeichneten mich Personen aus meiner Familie als ´dumm´, ´faul´ oder ´häßlich´.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_4;childhood_trauma_questionnaire_ctq;;dropdown;"4. ...waren meine Eltern zu betrunken oder von anderen Drogen ´high´, um für die Familie zu sorgen.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_5;childhood_trauma_questionnaire_ctq;;dropdown;"5. ...gab es jemand in der Familie, der mir das Gefühl gab, wichtig und jemand Besonderes zu sein.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_6;childhood_trauma_questionnaire_ctq;;dropdown;"6. ...mußte ich dreckige Kleidung tragen.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_7;childhood_trauma_questionnaire_ctq;;dropdown;"7. ...hatte ich das Gefühl, geliebt zu werden.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_8;childhood_trauma_questionnaire_ctq;;dropdown;"8. ...glaubte ich, daß meine Eltern wünschten, ich wäre nie geboren.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_9;childhood_trauma_questionnaire_ctq;;dropdown;"9. ...wurde ich von jemandem aus meiner Familie so stark geschlagen, daß ich zum Arzt oder ins Krankenhaus mußte.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_10;childhood_trauma_questionnaire_ctq;;dropdown;"10. ...gab es nichts, was ich an meiner Familie ändern wollte.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_11;childhood_trauma_questionnaire_ctq;;dropdown;"11. ...schlugen mich Personen aus meiner Familie so stark, daß ich blaue Flecken oder Schrammen davontrug.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_12;childhood_trauma_questionnaire_ctq;;dropdown;"12. ...wurde ich mit einem Gürtel, einem Stock, einem Riemen oder mit einem harten Gegenstand bestraft.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_13;childhood_trauma_questionnaire_ctq;;dropdown;"13. ...gaben meine Familienangehörigen aufeinander acht.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_14;childhood_trauma_questionnaire_ctq;;dropdown;"14. ...sagten Personen aus meiner Familie verletzende oder beleidigende Dinge zu mir.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
oid_1_1_2_6_1_15;childhood_trauma_questionnaire_ctq;;dropdown;"15. Ich glaube, ich bin körperlich mißhandelt worden, als ich aufwuchs.";"1, trifft auf mich überhaupt nicht zu | 2, trifft auf mich sehr selten zu | 3, trifft auf mich einige Male zu | 4, trifft auf mich häufig zu | 5, trifft auf mich sehr häufig zu";;;;;;;;;;;;
