"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
oid_1_1_2_9_0_1;krankheitsverlauf;;text;"Record ID";;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_0]) @HIDDEN"
oid_1_1_2_9_0_2;krankheitsverlauf;;text;"Fall ID";;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_1]) @HIDDEN"
oid_1_1_2_9_0_3;krankheitsverlauf;;text;Geburtsdatum;;;date_dmy;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_2]) @HIDDEN"
oid_1_1_2_9_0_4;krankheitsverlauf;;text;Alter;;;integer;0;110;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_3]) @HIDDEN"
oid_1_1_2_9_0_5;krankheitsverlauf;;text;Geschlecht;;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_4]) @HIDDEN"
oid_1_1_2_9_0_6;krankheitsverlauf;;text;Erhebungszeitpunkt;;;;;;;;;;;;;" @NOW-UTC @HIDDEN"
oid_1_1_2_9_0_7;krankheitsverlauf;;text;Abschlusszeitpunkt;;;;;;;;;;;;;" @CALCTEXT([survey-time-completed:Krankheitsverlauf]) @HIDDEN"
oid_1_1_2_9_1_1;krankheitsverlauf;"Im Folgenden stellen wir Ihnen einige Fragen. Wir wissen, dass es teilweise schwierig sein kann, sich an alles genau zu erinnern. Wir bitten Sie trotzdem, die Fragen so gut es geht zu beantworten und die Antworten auszuwählen, die am passendsten für Sie sind.";text;"Wie oft waren Sie in Ihrem Leben bereits in einer psychiatrischen oder psychosomatischen Klinik in Behandlung? (bitte versuchen Sie die Gesamtanzahl der psychiatrischen oder psychosomatischen stationären/teilstationären/tagesklinischen Aufenthalte, sowie psychosomatischen Kuraufenthalte insgesamt zu schätzen - ambulante Behandlungen in einer Praxis oder Ambulanz hier bitte nicht mitzählen)";;;integer;0;;;;;;;;;
oid_1_1_2_9_1_2;krankheitsverlauf;;text;"Wieviel Zeit haben Sie in Ihrem Leben bereits in einer stationären psychiatrischen oder psychosomatischen Behandlung verbracht (in Monaten)(bitte versuchen Sie die Dauer insgesamt grob zu schätzen - ambulante Behandlungen in einer Praxis oder Ambulanz hier bitte nicht mitzählen)";;;number;0.0;;;;;;;;;
oid_1_1_2_9_1_3;krankheitsverlauf;;dropdown;"Wurden Sie auch in den letzten 6 Monaten in einer psychiatrischen oder psychosomatischen Klinik behandelt? (bitte nur psychiatrische oder psychosomatische stationäre/teilstationäre/tagesklinische Aufenthalte, sowie psychosomatische Kuraufenthalte berücksichtigen - ambulante Behandlungen in einer Praxis oder Ambulanz bitte nicht berücksichtigen)";"1, Ja | 2, Nein";;;;;;;y;;;;;
oid_1_1_2_9_1_4;krankheitsverlauf;;checkbox;"Haben Sie in den letzten 6 Monaten, aufgrund von psychischen Problemen, ambulante Hilfsangebote in Anspruch genommen? Bitte wählen aus, welche Art von Hilfsangebot Sie in Anspruch genommen haben (Mehrfachantwort möglich):";"1, Ambulanter Psychiater (Facharzt für Psychiatrie oder Psychosomatik) | 2, Ambulante Psychotherapie (Gesprächstherapie) | 3, Hausärztliche Praxis (aufgrund von psychischen Problemen) | 4, Kirchliche Seelsorge | 5, Heilpraktiker (aufgrund von psychischen Problemen) | 6, Sonstige Beratungsstelle (z.B. Psychosoziales Zentrum,  psychologische Beratung der zentralen Studienberatung etc.) | 7, Ich habe keine ambulanten Hilfsangebote in Anspruch genommen";;;;;;;y;;;;;
oid_1_1_2_9_1_5;krankheitsverlauf;;dropdown;"Wie häufig haben Sie die von Ihnen ausgewählten Hilfsangebote in Anspruch genommen?";"1, Einmal | 2, Ein paar Mal bzw. innerhalb einer kurzen Zeit (wenige Wochen) | 3, Regelmäßig für einen längeren Zeitraum (bis zu 3 Monaten) oder in vielen kürzeren Zeiträumen | 4, Regelmäßig für einen längeren Zeitraum (3 bis zu 6 Monaten) | 5, Ich habe in den letzten 6 Monaten keine ambulanten Hilfsangebote in Anspruch genommen";;;;;;;y;;;;;
oid_1_1_2_9_1_6;krankheitsverlauf;;checkbox;"Welche Art von Psychotherapie haben Sie in den letzten 6 Monaten gemacht (Mehrfachnennung möglich)?";"1, Verhaltenstherapie (kognitive Verhaltenstherapie) | 2, Tiefenpsychologische Psychotherapie (auch psychodynamische Psychotherapie genannt) | 3, Analytische Psychotherapie | 4, Systemische Therapie | 5, Anderes Verfahren | 6, Unbekannt | 7, Ich habe in den letzten 6 Monaten keine ambulante Psychotherapie in Anspruch genommen";;;;;;;y;;;;;
oid_1_1_2_9_1_7;krankheitsverlauf;;text;"Wie lange waren Sie in Ihrem Leben insgesamt aufgrund einer psychischen Erkrankung krank geschrieben oder berentet (Bitte schätzen Sie die Gesamtdauer in Monaten. Falls Sie noch nie aufgrund einer psychischen Erkrankung krank geschrieben oder berentet gewesen sind, geben Sie bitte ""0"" an)";;;number;0.0;;;;;;;;;
oid_1_1_2_9_1_8;krankheitsverlauf;;dropdown;"Haben Sie schon einmal versucht, sich das Leben zu nehmen?";"1, Ja | 2, Nein";;;;;;;;;;;;
oid_1_1_2_9_1_9;krankheitsverlauf;;dropdown;"Mussten Sie deswegen medizinisch versorgt werden?";"1, Ja | 2, Nein | 3, Ich habe nicht versucht, mir das Leben zu nehmen";;;;;;;;;;;;
oid_1_1_2_9_1_10;krankheitsverlauf;;dropdown;"Haben Sie in den letzten 6 Monaten Psychopharmaka (Medikamente für psychische Störungen) eingenommen? (bitte zählen Sie die Einnahme während des aktuellen Aufenthaltes in unserer Klinik hierbei nicht mit)";"1, Ja | 2, Nein | 3, Weiß nicht";;;;;;;y;;;;;
oid_1_1_2_9_1_11;krankheitsverlauf;;checkbox;"Sie haben angegeben, dass Sie in den letzten 6 Monaten (vor dem aktuellen Aufenthalt in unserer Klinik) Psychopharmaka eingenommen haben. Bitte geben Sie an, welche Art von Medikamenten Sie eingenommen haben (Mehrfachauswahl möglich). Um Ihnen die Einordnung zu vereinfachen zeigen wir Ihnen Beispielmedikamente für jede Medikamentengruppe (siehe Antwortmöglichkeiten). Diese stellen jedoch nur einige wenige Beispiele dar. Es gibt von jeder Medikamentengruppe noch viele weitere Medikamente. Wenn Sie nicht wissen, zu welcher Gruppe Ihre Medikamente gehören, wählen Sie bitte ""weiß nicht"" aus. Falls Sie nur den Namen Ihres Medikamentes wissen, es jedoch nicht einer der Antwortoptionen zuordnen können, können Sie diesen Namen auch unter ""Sonstiges, nämlich:"" eintragen.";"1, Antidepressiva (z.B. Sertralin, Citalopram, Venlafaxin, Duloxetin) | 2, Stimmungsstabilisierer (z.B. Lithium, Valproat, Lamotrigin) | 3, Beruhigungsmittel (z.B. Lorazepam, Zopiclon, Diazepam) | 4, Antipsychotika/Neuroleptika (z.B. Risperdal, Aripiprazol, Olanzapin, Quetiapin) | 5, Psychostimulanzien (z.B. Methylphenidat bzw. Ritalin, Medikinet, Concerta) | 6, Weiß nicht | 7, Ich habe in den letzten 6 Monaten keine Psychopharmaka eingenommen";;;;;;;y;;;;;
oid_1_1_2_9_1_12;krankheitsverlauf;;text;"Wie alt waren Sie, als Sie zum ersten Mal psychiatrisch oder psychotherapeutisch behandelt wurden (ambulant oder stationär)? (bitte berücksichtigen Sie hier jede Art von psychiatrischer oder psychotherapeutischer Behandlung)";;;integer;0;;;;;;;;;
oid_1_1_2_9_1_13;krankheitsverlauf;;checkbox;"Unten finden Sie eine Liste von schwerwiegenden oder traumatischen Lebensereignissen. Bitte wählen Sie die Ereignisse aus, die Sie nach Ihrem 18. Lebensjahr bereits mindestens einmal erlebt haben (Mehrfachantworten möglich). Falls es Ihnen momentan zu schwer fallen sollte, diese Frage zu beantworten, können Sie diese Frage auch überspringen.";"1, Versuchter oder tatsächlicher Raubüberfall oder Straßenraub unter Anwendung oder Androhung von Gewalt | 2, Einbruch in Ihre Wohnung oder Ihr Haus während Sie zuhause waren | 3, Schwerer Arbeitsunfall, Autounfall oder andere Art von schwerer Unfall | 4, Eine von Menschen verursachte Katastrophe (z.B. Zugunglück, Gebäudeeinsturz, Banküberfall, Feuer usw.) bei der Sie sich oder eine von Ihnen geliebte Person in Todes- oder Verletzungsgefahr sahen | 5, Eine andere Situation, in der Ihnen schwerer Schaden zugefügt wurde oder Sie fürchteten, Sie könnten getötet oder schwer verletzt werden | 6, Eine Situation, in der Sie gesehen haben, wie jemand schwer verletzt oder getötet wurde | 7, Der Tod eines (Ehe-) Partners oder Kindes von Ihnen | 8, Eine lebensbedrohliche Krankheit | 9, Beteiligung an einem Kampf in einem offiziellen oder inoffiziellen Kriegsgebiet | 10, Erfahrung von sexueller Gewalt (z.B., dass jmd. Sie zwang oder versuchte, Sie zu zwingen, ungewollten sexuellen Kontakt zu haben, intime Körperteile von Ihnen anfasste oder Sie mit Gewalt oder Drohung dazu gebracht hat, seine/ihre zu berühren) | 11, Erfahrung von rassistischer Gewalt (z.B.,mentale/emotionale Verletzung durch eine oder mehrere Begegnungen mit rassistischer/ethnischer Diskriminierung, wiederkehrende verbale/non-verbale Beleidigungen, Kränkungen und Demütigungen oder Ähnliches) | 12, Ich habe keines der oben beschriebenen Ereignisse erlebt";;;;;;;;;;;;
oid_1_1_2_9_1_14;krankheitsverlauf;;checkbox;"Unten finden Sie eine Liste von möglicherweise schwierigen Lebensereignissen. Bitte wählen Sie die Ereignisse aus, die Sie in den letzten 6 Monaten mindestens einmal erlebt haben (Mehrfachantworten möglich).";"1, Eine Trennung oder Scheidung | 2, Verlust eines/einer nahen Freundes/Freundin oder eines/einer Familienangehörigen | 3, Ungewollter Arbeitsplatzverlust | 4, Eigener Umzug | 5, Diagnose einer schweren körperlichen Erkrankung | 6, Ich habe in den letzten 6 Monaten keines der oben beschriebenen Ereignisse erlebt";;;;;;;y;;;;;
