"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
oid_1_1_2_30_1_0;stammdaten;;text;"Record ID";;;;;;y;;;;;;;" @HIDDEN"
oid_1_1_2_30_1_1;stammdaten;;text;"Fall ID";;;;;;y;;y;;;;;
oid_1_1_2_30_1_2;stammdaten;;text;Geburtsdatum;;;date_dmy;;;y;;y;;;;;
oid_1_1_2_30_1_3;stammdaten;;text;Alter;;;integer;0;110;y;;;;;;;" @CALCTEXT(rounddown(datediff([oid_1_1_2_30_1_2], 'today', 'y')))"
oid_1_1_2_30_1_4;stammdaten;;dropdown;Geschlecht;"1, divers | 2, ohne Angabe | 3, männlich | 4, weiblich";;;;;y;;y;;;;;
oid_1_1_2_30_1_5;stammdaten;;dropdown;Gruppe;"1, Pool 1 (Ergebnisse werden dem Behandler zur Verfügung gestellt) | 2, Pool 2 (Ergebnisse werden dem Behandler nicht zur Verfügung gestellt)";;;;;;;;;;;;
oid_1_1_2_30_1_6;stammdaten;;text;Probandencode;;;;;;y;;y;;;;;
oid_1_1_2_30_2_1;stammdaten;Dokumente;yesno;"Einwilligungserklärung vorhanden";;;;;;;;y;;;;;
oid_1_1_2_30_3_1;stammdaten;Einschlusskriterien;yesno;"Alter: ab 18 Jahre ";;;;;;;;y;;;;;
oid_1_1_2_30_3_2;stammdaten;;yesno;"Haupt- oder Nebendiagnose einer affektiven Störung gemäß Eingangsuntersuchung (F31-34)";;;;;;;;y;;;;;
oid_1_1_2_30_3_3;stammdaten;;yesno;"Ausreichende Kenntnisse der deutschen Sprache zur Bearbeitung digitaler Fragebögen";;;;;;;;y;;;;;
oid_1_1_2_30_4_1;stammdaten;Ausschlusskriterien;yesno;"Komorbidität: Für das Patientenkollektiv sind zentral-neurologische Vorerkrankungen, die die Konzentrations- und Merkfähigkeit erheblich beeinträchtigen, sodass die Beantwortung der Fragebögen nicht möglich ist ein Ausschlusskriterium.";;;;;;;;y;;;;;
oid_1_1_2_30_4_2;stammdaten;;yesno;"Sprachkenntnisse: Keine ausreichenden Deutschkenntnisse zum Verständnis der Studieninformationen und digitalen Fragebögen";;;;;;;;y;;;;;
oid_1_1_2_30_5_1;stammdaten;Scores;descriptive;"<div class=""rich-text-field-label""><p>SCL90-R<br><span style=""font-weight: normal;"">[line-chart:oid_1_1_2_3_2_1]</span></p></div>";;;;;;;;;;;;;
oid_1_1_2_30_5_2;stammdaten;;descriptive;"<div class=""rich-text-field-label""><p>WHODAS<br><span style=""font-weight: normal;"">[line-chart:oid_1_1_2_4_2_1]</span></p></div>";;;;;;;;;;;;;
oid_1_1_2_30_5_3;stammdaten;;descriptive;"<div class=""rich-text-field-label""><p>PHQ-9<br><span style=""font-weight: normal;"">[line-chart:oid_1_1_2_10_2_1]</span></p></div>";;;;;;;;;;;;;
oid_1_1_2_30_5_4;stammdaten;;descriptive;"<div class=""rich-text-field-label""><p>ISR:<span style=""font-weight: normal;""> [line-chart:oid_1_1_2_5_2_7]</span><br>Depression: <span style=""font-weight: normal;"">[line-chart: oid_1_1_2_5_2_1 ] </span><br>Angst: <span style=""font-weight: normal;"">[line-chart: oid_1_1_2_5_2_2 ] </span><br>Zwang: <span style=""font-weight: normal;"">[line-chart: oid_1_1_2_5_2_3 ] </span><br>Somatisierung:<span style=""font-weight: normal;""> [line-chart: oid_1_1_2_5_2_4 ] </span><br>Essstörung: <span style=""font-weight: normal;"">[line-chart: oid_1_1_2_5_2_5 ] </span><br>Zusatzskala: <span style=""font-weight: normal;"">[line-chart: oid_1_1_2_5_2_6 ] </span></p></div>";;;;;;;;;;;;;
oid_1_1_2_30_5_5;stammdaten;;descriptive;"<div class=""rich-text-field-label""><p>CTQ:<span style=""font-weight: normal;""> [line-chart:oid_1_1_2_6_2_7]</span><br>Emotionale Vernachlässigung:<span style=""font-weight: normal;""> [line-chart: oid_1_1_2_6_2_1 ]</span> <br>Körperliche Vernachlässigung: <span style=""font-weight: normal;"">[line-chart: oid_1_1_2_6_2_2 ]</span> <br>Sexuelle Misshandlung: <span style=""font-weight: normal;"">[line-chart: oid_1_1_2_6_2_3 ]</span> <br>Körperliche Misshandlung: <span style=""font-weight: normal;"">[line-chart: oid_1_1_2_6_2_4 ]</span> <br>Emotionale Misshandlung: <span style=""font-weight: normal;"">[line-chart: oid_1_1_2_6_2_5 ]</span> <br>Bagatellisierung: <span style=""font-weight: normal;"">[line-chart: oid_1_1_2_6_2_6 ]</span></p></div>";;;;;;;;;;;;;
oid_1_1_2_30_5_6;stammdaten;;descriptive;"<div class=""rich-text-field-label""><p>HAMD<br><span style=""font-weight: normal;"">[line-chart:oid_1_1_2_1_2_1]</span></p></div>";;;;;;;;;;;;;
oid_1_1_2_30_5_7;stammdaten;;descriptive;"<div class=""rich-text-field-label""><p>GAF<br><span style=""font-weight: normal;"">[line-chart: oid_1_1_2_1_4_1]</span></p></div>";;;;;;;;;;;;;
oid_1_1_2_30_5_8;stammdaten;;descriptive;"<div class=""rich-text-field-label""><p>MADRS<br><span style=""font-weight: normal;"">[line-chart:oid_1_1_2_2_2_1]</span></p></div>";;;;;;;;;;;;;
