"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
oid_1_1_2_7_0_1;familienanamnese;;text;"Record ID";;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_0]) @HIDDEN"
oid_1_1_2_7_0_2;familienanamnese;;text;"Fall ID";;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_1]) @HIDDEN"
oid_1_1_2_7_0_3;familienanamnese;;text;Geburtsdatum;;;date_dmy;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_2]) @HIDDEN"
oid_1_1_2_7_0_4;familienanamnese;;text;Alter;;;integer;0;110;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_3]) @HIDDEN"
oid_1_1_2_7_0_5;familienanamnese;;text;Geschlecht;;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_4]) @HIDDEN"
oid_1_1_2_7_0_6;familienanamnese;;text;Erhebungszeitpunkt;;;;;;;;;;;;;" @NOW-UTC @HIDDEN"
oid_1_1_2_7_0_7;familienanamnese;;text;Abschlusszeitpunkt;;;;;;;;;;;;;" @CALCTEXT([survey-time-completed:Familienanamnese]) @HIDDEN"
oid_1_1_2_7_1_1;familienanamnese;"Bitte versuchen Sie, die Fragen zügig und aus dem Bauch heraus zu beantworten. Bitte überspringen Sie keine Fragen. Auch wenn einzelne Fragen oder Antworten nicht zu Ihrer derzeitigen Situation passen, wählen Sie bitte die Antwort aus, die am ehesten auf Sie zutrifft. Alle Ihre Antworten werden vertraulich behandelt. Vielen Dank, dass Sie sich die Zeit für die Beantwortung nehmen.";dropdown;"Persönliche Angaben: Muttersprache";"1, Afar | 2, Abchasisch | 3, Avestisch | 4, Afrikaans | 5, Akan | 6, Amharisch | 7, Aragonesisch | 8, Arabisch | 9, Assamesisch | 10, Avarisch | 11, Aymara | 12, Aserbaidschanisch | 13, Baschkirisch | 14, Belarussisch | 15, Bulgarisch | 16, Bihari | 17, Bislama | 18, Bambara | 19, Bengalisch | 20, Tibetisch | 21, Bretonisch | 22, Bosnisch | 23, Katalanisch; Valencianisch | 24, Tschetschenisch | 25, Chamorro | 26, Korsisch | 27, Cree | 28, Tschechisch | 29, Kirchenslawisch; Altkirchenslawisch | 30, Tschuwaschisch | 31, Walisisch | 32, Dänisch | 33, Deutsch | 34, Dhivehi | 35, Dzongkha | 36, Ewe | 37, Griechisch | 38, Englisch | 39, Esperanto | 40, Spanisch; Kastilisch | 41, Estnisch | 42, Baskisch | 43, Persisch | 44, Fulfulde | 45, Finnisch | 46, Fidschi | 47, Färöisch | 48, Französisch | 49, Westfriesisch | 50, Irisch | 51, Schottisch-gälisch | 52, Galicisch; Galegisch | 53, Guaraní | 54, Gujarati | 55, Manx; Manx-Gälisch | 56, Hausa | 57, Hebräisch | 58, Hindi | 59, Hiri Motu | 60, Kroatisch | 61, Haitianisch | 62, Ungarisch | 63, Armenisch | 64, Otjiherero | 65, Interlingua | 66, Indonesisch | 67, Interlingue | 68, Igbo | 69, Yi | 70, Inupiaq | 71, Ido | 72, Isländisch | 73, Italienisch | 74, Inuktitut | 75, Japanisch | 76, Javanisch | 77, Georgisch | 78, Kikongo | 79, Kikuyu | 80, oshiKwanyama | 81, Kasachisch | 82, Grönländisch; Kalaallisut | 83, Khmer | 84, Kannada | 85, Koreanisch | 86, Kanuri | 87, Kashmiri | 88, Kurdisch | 89, Komi | 90, Kornisch | 91, Kirgisisch | 92, Latein | 93, Luxemburgisch | 94, Luganda | 95, Limburgisch; Südniederfränkisch | 96, Lingála | 97, Laotisch | 98, Litauisch | 99, Kiluba | 100, Lettisch | 101, Malagasy; Malagassi | 102, Marshallesisch | 103, Maori | 104, Mazedonisch | 105, Malayalam | 106, Mongolisch | 107, Marathi | 108, Malaiisch | 109, Maltesisch | 110, Birmanisch | 111, Nauruisch | 112, Bokmål | 113, Nord-Ndebele | 114, Nepali | 115, Ndonga | 116, Niederländisch; Belgisches Niederländisch | 117, Nynorsk | 118, Norwegisch | 119, Süd-Ndebele | 120, Navajo | 121, Chichewa | 122, Okzitanisch | 123, Ojibwe | 124, Oromo | 125, Oriya | 126, Ossetisch | 127, Panjabi; Pandschabi | 128, Pali | 129, Polnisch | 130, Paschtunisch | 131, Portugiesisch | 132, Quechua | 133, Bündnerromanisch; Romanisch | 134, Kirundi | 135, Rumänisch | 136, Russisch | 137, Kinyarwanda; Ruandisch | 138, Sanskrit | 139, Sardisch | 140, Sindhi | 141, Nordsamisch | 142, Sango | 143, Singhalesisch | 144, Slowakisch | 145, Slowenisch | 146, Samoanisch | 147, Shona | 148, Somali | 149, Albanisch | 150, Serbisch | 151, Siswati | 152, Sesotho; Süd-Sotho | 153, Sundanesisch | 154, Schwedisch | 155, Swahili | 156, Tamil | 157, Telugu | 158, Tadschikisch | 159, Thai | 160, Tigrinya | 161, Turkmenisch | 162, Tagalog | 163, Setswana | 164, Tongaisch | 165, Türkisch | 166, Xitsonga | 167, Tatarisch | 168, Twi | 169, Tahitianisch; Tahitisch | 170, Uigurisch | 171, Ukrainisch | 172, Urdu | 173, Usbekisch | 174, Tshivenda | 175, Vietnamesisch | 176, Volapük | 177, Wallonisch | 178, Wolof | 179, isiXhosa | 180, Jiddisch | 181, Yoruba | 182, Zhuang | 183, Chinesisch | 184, isiZulu";"Nutze die Textsuche, um Deine Auswahl schneller in der Dropdown-Liste zu finden. Anstatt durch die gesamte Dropdown-Liste scrollen zu müssen, kannst Du einfach ein paar Zeichen Deines Suchbegriffs eingeben und es wird eine kurze Liste passender Optionen angezeigt. ";autocomplete;;;;;y;;;;;
oid_1_1_2_7_1_2;familienanamnese;;dropdown;"Persönliche Angaben: Höchster eigener erreichter Bildungsabschluss";"1, Kein Schulabschluss | 2, Volksschulabschluss | 3, Hauptschulabschluss | 4, Realschulabschluss / mittlere Reife | 5, Fachabitur | 6, Abitur | 7, Lehre | 8, Meister | 9, Bachelor | 10, Master/Diplom | 11, Doktor/Professur";;;;;;;y;;;;;
oid_1_1_2_7_1_3;familienanamnese;;dropdown;"Angaben zum Vater: Höchster erreichter Bildungsabschluss des Vaters";"1, Kein Schulabschluss | 2, Volksschulabschluss | 3, Hauptschulabschluss | 4, Realschulabschluss / mittlere Reife | 5, Fachabitur | 6, Abitur | 7, Lehre | 8, Meister | 9, Bachelor | 10, Master/Diplom | 11, Doktor/Professur";;;;;;;;;;;;
