"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
oid_1_1_2_8_0_1;soziodemographischer_bogen;;text;"Record ID";;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_0]) @HIDDEN"
oid_1_1_2_8_0_2;soziodemographischer_bogen;;text;"Fall ID";;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_1]) @HIDDEN"
oid_1_1_2_8_0_3;soziodemographischer_bogen;;text;Geburtsdatum;;;date_dmy;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_2]) @HIDDEN"
oid_1_1_2_8_0_4;soziodemographischer_bogen;;text;Alter;;;integer;0;110;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_3]) @HIDDEN"
oid_1_1_2_8_0_5;soziodemographischer_bogen;;text;Geschlecht;;;;;;y;;;;;;;" @CALCTEXT([oid_1_1_2_30_1_4]) @HIDDEN"
oid_1_1_2_8_0_6;soziodemographischer_bogen;;text;Erhebungszeitpunkt;;;;;;;;;;;;;" @NOW-UTC @HIDDEN"
oid_1_1_2_8_0_7;soziodemographischer_bogen;;text;Abschlusszeitpunkt;;;;;;;;;;;;;" @CALCTEXT([survey-time-completed:Soziodemographischer Bogen]) @HIDDEN"
oid_1_1_2_8_1_1;soziodemographischer_bogen;"Bitte versuchen Sie, die Fragen zügig und aus dem Bauch heraus zu beantworten. Bitte überspringen Sie keine Fragen. Auch wenn einzelne Fragen oder Antworten nicht zu Ihrer derzeitigen Situation passen, wählen Sie bitte die Antwort aus, die am ehesten auf Sie zutrifft. Alle Ihre Antworten werden vertraulich behandelt. Vielen Dank, dass Sie sich die Zeit für die Beantwortung nehmen.";dropdown;"Überwiegende aktuelle Lebenssituation";"1, Allein lebend | 2, Mit nichtehelichem Partner lebend | 3, Mit Ehepartner / Lebenspartner lebend | 4, Mit Eltern / Verwandten lebend | 5, Wohnheim / WG | 6, Therapeutische Einrichtung (z.B. betreutes Wohnen)";;;;;;;y;;;;;
oid_1_1_2_8_1_2;soziodemographischer_bogen;;dropdown;"Bestreitung des Lebensunterhaltes derzeit überwiegend durch";"1, Eigene Arbeitstätigkeit | 2, Angehörige (Eltern, Partner, sonstige) | 3, Lohnersatzleistungen (incl. Krankengeld, Arbeitslosengeld, Sozialhilfe, Rente)";;;;;;;y;;;;;
oid_1_1_2_8_1_3;soziodemographischer_bogen;;dropdown;"Arbeitssituation zurzeit";"1, Berufstätig, Vollzeit | 2, Berufstätig, Teilzeit | 3, Berufstätig, gelegentlich | 4, Ausbildung, Umschulung (auch Studium) | 5, Bundesfreiwilligendienst / freiwilliger Wehrdienst | 6, Beschützt beschäftigt (z.B. WfB) | 7, Hausfrau/ -mann, nicht berufstätig | 8, Arbeitslos | 9, Berufs-/ Erwerbsunfähigkeitsrente, Frührentner | 10, Altersrente/Pension/Witwen(r) Rente";;;;;;;y;;;;;
oid_1_1_2_8_1_4;soziodemographischer_bogen;;dropdown;"Derzeit ausgeübter Beruf";"1, Nicht erwerbstätig | 2, Un-/angelernter Arbeiter (auch: Jobs; HIWI) | 3, Facharbeiter, unselbstständiger Handwerker | 4, Einfacher Angestellter / Beamter | 5, Mittlerer Angestellter / Beamter im mittleren Dienst | 6, Höher qualifizierter Angestellter / Beamter im gehobenen Dienst | 7, Hochqualifizierter / leitender Angestellter / Beamter im höheren Dienst | 8, Selbstständiger Handwerker, Landwirt, Gewerbetreibender (kleine Betriebe) | 9, Selbstständiger Handwerker, Landwirt, Gewerbetreibender (mittlere Betriebe) | 10, Selbstständiger Akademiker, Freiberufler, größerer Unternehmer";;;;;;;y;;;;;
oid_1_1_2_8_1_5;soziodemographischer_bogen;;text;"Durchschnittliches monatliches Nettoeinkommen des Haushalts in €: Bitte nennen Sie uns Ihr durchschnittliches monatliches Haushalts-Nettoeinkommen (alle Mitglieder des Haushaltes im Durchschnitt; bitte rechnen Sie Sonderzahlungen wie Urlaubsgeld oder Weihnachtsgeld mit ein).";;;number;0;;;;;;;;;
